UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
Logical View.Logical Model.java.lang.String,Logical View.Logical Model.java.lang.String,,String,String,ObjectClass,C45253,An expression consisting of a linear sequence of symbols (characters or words or phrases).,NCI,,1
Logical View.Logical Model.java.lang.Boolean,Logical View.Logical Model.java.lang.Boolean,,Boolean,Boolean,ObjectClass,C45254,"The type of an expression with two possible values, ""true"" and ""false"". Also, a variable of Boolean type or a function with Boolean arguments or result. The most common Boolean functions are AND, OR and NOT.",NCI,,1
Logical View.Logical Model.java.lang.Float,Logical View.Logical Model.java.lang.Float,,Float,Float,ObjectClass,C48150,A number that can have its decimal point in any position.,NCI,,1
Logical View.Logical Model.java.lang.Integer,Logical View.Logical Model.java.lang.Integer,,Integer,Integer,ObjectClass,C45255,A number with no fractional part.,NCI,,1
Logical View.Logical Model.java.lang.Double,Logical View.Logical Model.java.lang.Double,,Double,Double,ObjectClass,C48870,"A 64-bit floating point primitive. When wrapped in an immutable Object, it is called a Double.",NCI,,1
Logical View.Logical Model.java.lang.Long,Logical View.Logical Model.java.lang.Long,,Long,Long,ObjectClass,C48311,A variable that is stored as a signed 64-bit (8-byte) integer.,NCI,,1
Logical View.Logical Model.java.lang.util.Date,Logical View.Logical Model.java.lang.util.Date,,Date,Date,ObjectClass,C48871,A string unique to a time duration of 24 hours between 2 successive midnights defined by the local time zone. The specific representation of a date will depend on which calendar convention is in force as well as local ordering conventions.,NCI,,1
Logical View.Logical Model.java.lang.util.Collection,Logical View.Logical Model.java.lang.util.Collection,,Container Object,Container Object,ObjectClass,C43446,An object that holds the values or locations of other objects.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Activity,Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Activity,An object representing the activities performed on tumors,Activity,Activity,ObjectClass,C43431,An action taken in pursuit of an objective; the state of being active.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Activity,id,System generated internal identifier,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Activity,course,Course number in which specific treatment activity  occurred.  First course of treatment includes all methods of treatment recorded in the treatment plan and administered to patient BEFORE disease progression or recurrence. ,Course,Course,Property,C25379,"Passage through time; duration; a systematic or/and orderly succession; a sequence, e.g. course of treatment; a mode of action or behavior; natural development, typical manner of proceeding.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Activity,atLocalFacility,Indicates whether this treatment activity was performed or given at this facility (Y) or not (N).,Flag,Flag,Property,C43578,An indicator that can be set or unset in order to signal whether a particular condition is true.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Activity,atLocalFacility,Indicates whether this treatment activity was performed or given at this facility (Y) or not (N).,Facility,Facility,PropertyQualifier1,C62574,Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Activity,atLocalFacility,Indicates whether this treatment activity was performed or given at this facility (Y) or not (N).,Local,Local,PropertyQualifier2,C25388,Affecting only a restricted part or area (of the body).,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Activity,startDate,Records the date on which this treatment activity (procedure or therapy) for the specified facility began during this course of treatment.,Date,Date,Property,C25164,"The particular day, month and year an event has happened or will happen.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Activity,startDate,Records the date on which this treatment activity (procedure or therapy) for the specified facility began during this course of treatment.,Begin,Begin,PropertyQualifier1,C25431,"Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Activity,characterization,Indicates specific treatment activity (procedure performed or therapy given)  begun on this date.,Therapeutic Procedure,Therapeutic Procedure,Property,C49236,An action or administration of therapeutic agents to produce an effect that is intended to alter the course of a pathologic process.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,An object representing specific Diaganosis for a specific patient.  ,Diagnosis,Diagnosis,ObjectClass,C15220,"The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,id,System generated internal identifier,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,firstContactDate,"Date of first patient contact, as inpatient or outpatient, with the reporting facility for the diagnosis and/or treatment of the tumor. The date may represent the date of an outpatient visit for a biopsy, x-ray, scan, or laboratory test.",Date,Date,Property,C25164,"The particular day, month and year an event has happened or will happen.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,firstContactDate,"Date of first patient contact, as inpatient or outpatient, with the reporting facility for the diagnosis and/or treatment of the tumor. The date may represent the date of an outpatient visit for a biopsy, x-ray, scan, or laboratory test.",Visit,Visit,PropertyQualifier1,C25716,The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,firstContactDate,"Date of first patient contact, as inpatient or outpatient, with the reporting facility for the diagnosis and/or treatment of the tumor. The date may represent the date of an outpatient visit for a biopsy, x-ray, scan, or laboratory test.",First,First,PropertyQualifier2,C25509,Preceding all others in time or space or degree.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,initialDiagnosisDate,Date of initial diagnosis by a recognized medical practitioner for the tumor being reported whether clinically or microscopically confirmed. See page 81 for date format.,Date,Date,Property,C25164,"The particular day, month and year an event has happened or will happen.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,initialDiagnosisDate,Date of initial diagnosis by a recognized medical practitioner for the tumor being reported whether clinically or microscopically confirmed. See page 81 for date format.,Diagnosis,Diagnosis,PropertyQualifier1,C15220,"The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,initialDiagnosisDate,Date of initial diagnosis by a recognized medical practitioner for the tumor being reported whether clinically or microscopically confirmed. See page 81 for date format.,First,First,PropertyQualifier2,C25509,Preceding all others in time or space or degree.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,ageAtDiagnosis,Age of the patient at diagnosis in complete years. Different tumors for the same patient may have different values.,Age,Age,Property,C25150,How long something has existed; elapsed time since birth.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,ageAtDiagnosis,Age of the patient at diagnosis in complete years. Different tumors for the same patient may have different values.,Diagnosis,Diagnosis,PropertyQualifier1,C15220,"The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,causeOfDeath,"Official cause of death as coded from the death certificate in valid ICD-7, ICD-8, ICD-9, and ICD-10 codes.",Death,Death,Property,C28554,The absence of life or state of being dead.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,causeOfDeath,"Official cause of death as coded from the death certificate in valid ICD-7, ICD-8, ICD-9, and ICD-10 codes.",Etiology,Etiology,PropertyQualifier1,C16390,The cause of a disease.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,behavior,Area for retaining behavior portion (1 digit) of the ICD-O-1 or field trial morphology codes entered before a conversion to ICD-O-2. See grouped data item Morph (73-91) ICD-O-1 [1970] in Appendix E. The item name includes years 73-91. ,Behavior,Behavior,Property,C16326,"The actions or reactions of an object or organism, usually in relation to the environment or surrounding world of stimuli.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,histology,"Area for retaining the histology portion (4 digits) of the ICD-O-1 or field trial morphology codes entered before a conversion to ICD-O-2. See grouped data item  Morph (73-91) ICD-O-1 [1970], in Appendix E. The item name includes years 1973-91.",Histology,Histology,Property,C16681,"The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs.  In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,histologyCode,"Codes for the histologic type of the tumor being reported using ICD-O-3. NAACCR adopted ICD-O-3 as the standard coding system for tumors diagnosed in 2001 and later, and recommended that prior tumors be converted from ICD-O-2.",Code,Code,Property,C25162,"A system, often of numbered categories, for representation of data.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,histologyCode,"Codes for the histologic type of the tumor being reported using ICD-O-3. NAACCR adopted ICD-O-3 as the standard coding system for tumors diagnosed in 2001 and later, and recommended that prior tumors be converted from ICD-O-2.",Histology,Histology,PropertyQualifier1,C16681,"The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs.  In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,histologicGrade,"Code for the grade or degree of differentiation of the reportable tumor. For lymphomas and leukemias, field also is used to indicate T-, B-, Null-, or NK-cell origin.  Note: Code 8 was adopted for use with lymphoma cases diagnosed in 1995 and later.",Histologic Grade,Histologic Grade,Property,C18000,"The degree of abnormality of cancer cells, a measure of differentiation, the extent to which cancer cells are similar in appearance and function to healthy cells of the same tissue type. The degree of differentiation often relates to the clinical behavior of the particular tumor. Based on the microscopic findings, tumor grade is commonly described by one of four degrees of severity. Histopathologic grade of a tumor may be used to plan treatment and estimate the future course, outcome, and overall prognosis of disease. Certain types of cancers, such as soft tissue sarcoma, primary brain tumors, lymphomas, and breast have special grading systems.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,laterality,"Code for the side of a paired organ, or the side of the body on which the reportable tumor originated. This applies to the primary site only.",Laterality,Laterality,Property,C25185,Dominant use or manifestations of one side of the body versus the other; an indication or right versus left.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,primarySite,"Code for the primary site of the tumor being reported using either ICD-O-2 or ICD-O-3. NAACCR adopted ICD-O-2 as the standard coding system for tumors diagnosed beginning January 1, 1992.",Site,Site,Property,C37901,A position in relation to its surroundings.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,primarySite,"Code for the primary site of the tumor being reported using either ICD-O-2 or ICD-O-3. NAACCR adopted ICD-O-2 as the standard coding system for tumors diagnosed beginning January 1, 1992.",Primary,Primary,PropertyQualifier1,C25251,Occurring first in time or sequence; original; of greatest rank or importance or value.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,classOfCase,"For a hospital registry, divides cases into two groups:  analytic cases are those included in reports on patient treatment and outcomes; nonanalytic cases are those not included in such reports. ",Class,Class,Property,C25346,A grouping of things based on shared common attributes.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,classOfCase,"For a hospital registry, divides cases into two groups:  analytic cases are those included in reports on patient treatment and outcomes; nonanalytic cases are those not included in such reports. ",Case,Case,PropertyQualifier1,C49152,A problem requiring investigation.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,classOfCaseCode,"For a hospital registry, divides cases into two groups:  analytic cases are those included in reports on patient treatment and outcomes; nonanalytic cases are those not included in such reports. Class of Case codes 0-2 identify cases that are analytic (i.",Code,Code,Property,C25162,"A system, often of numbered categories, for representation of data.",NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,classOfCaseCode,"For a hospital registry, divides cases into two groups:  analytic cases are those included in reports on patient treatment and outcomes; nonanalytic cases are those not included in such reports. Class of Case codes 0-2 identify cases that are analytic (i.",Class,Class,PropertyQualifier1,C25346,A grouping of things based on shared common attributes.,NCI,,1
Logical View.Logical Model.java.edu.duke.cabig.tumorregistry.domain.Diagnosis,classOfCaseCode,"For a hospital registry, divides cases into two groups:  analytic cases are those included in reports on patient treatment and outcomes; nonanalytic cases are those not included in such reports. Class of Case codes 0-2 identify cases that are analytic (i.",Case,Case,PropertyQualifier2,C49152,A problem requiring investigation.,NCI,,1
